x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0.44334,0.71013,0.0,0.45436,0.60605,0.0191,0.43344,0.5341,0.01964,0.3965,0.51601,0.01732,0.35778,0.5211,0.01117,0.42143,0.47732,-0.0221,0.38904,0.37552,-0.02927,0.36547,0.31993,-0.03008,0.34691,0.27643,-0.03046,0.37871,0.501,-0.03813,0.3422,0.38172,-0.05343,0.31968,0.31392,-0.06239,0.30534,0.25967,-0.06636,0.3405,0.54431,-0.04744,0.31436,0.46589,-0.05465,0.3105,0.4192,-0.05862,0.31407,0.38292,-0.06143,0.30997,0.59879,-0.05352,0.30229,0.58347,-0.05244,0.31978,0.59304,-0.04249,0.33998,0.60284,-0.03448
0.61773,0.69866,0.0,0.6418,0.60446,0.00967,0.62414,0.51251,0.00226,0.57739,0.47889,-0.00609,0.5314,0.47118,-0.01827,0.6465,0.48253,-0.03247,0.6494,0.353,-0.04946,0.65626,0.2843,-0.05629,0.66355,0.22763,-0.05878,0.61221,0.49512,-0.04801,0.60012,0.35055,-0.06702,0.59673,0.26981,-0.07472,0.59352,0.20331,-0.07684,0.57421,0.51728,-0.05959,0.52884,0.39512,-0.07878,0.51063,0.32983,-0.08607,0.49938,0.27081,-0.08882,0.53933,0.55205,-0.06791,0.51701,0.48026,-0.0769,0.52466,0.50763,-0.06491,0.5355,0.53684,-0.05478
0.59502,0.64287,0.0,0.61442,0.55785,0.0162,0.60003,0.48395,0.01504,0.56457,0.46123,0.01142,0.52815,0.45749,0.0049,0.61843,0.45236,-0.01411,0.62546,0.35017,-0.02342,0.6319,0.29496,-0.02445,0.63864,0.24919,-0.02382,0.59227,0.45488,-0.02979,0.58453,0.33741,-0.04377,0.58133,0.27103,-0.04615,0.57822,0.21639,-0.04399,0.56194,0.47219,-0.04221,0.52526,0.38207,-0.05725,0.50714,0.32735,-0.06329,0.49573,0.27837,-0.06469,0.53383,0.5045,-0.05143,0.51083,0.46442,-0.05833,0.51115,0.49151,-0.04959,0.51732,0.51868,-0.04153
0.5817,0.62373,0.0,0.59637,0.53444,0.01597,0.57106,0.45975,0.0124,0.52199,0.43871,0.00666,0.48112,0.43257,-0.00219,0.59964,0.42354,-0.02131,0.60288,0.31183,-0.03466,0.61051,0.25093,-0.03712,0.61836,0.20309,-0.03707,0.57044,0.43113,-0.0389,0.55188,0.30297,-0.05569,0.54649,0.23387,-0.0609,0.54287,0.17613,-0.06131,0.5376,0.45201,-0.05291,0.49368,0.35586,-0.07134,0.47241,0.29718,-0.08169,0.45747,0.24353,-0.0866,0.50713,0.48525,-0.06321,0.48521,0.44343,-0.07336,0.48901,0.46295,-0.0687,0.49571,0.4815,-0.06417
0.73229,0.72206,0.0,0.69912,0.66992,-0.07075,0.70359,0.57209,-0.08481,0.76098,0.49127,-0.08494,0.8041,0.43607,-0.08282,0.65278,0.40356,-0.03368,0.6232,0.27966,-0.04381,0.6092,0.19952,-0.05459,0.59624,0.13091,-0.06378,0.70499,0.39325,-0.01528,0.70864,0.24914,-0.02082,0.7165,0.15822,-0.03479,0.72054,0.0805,-0.04394,0.7471,0.41972,-0.00578,0.77167,0.31381,-0.03275,0.78642,0.22745,-0.07024,0.79539,0.14227,-0.09496,0.7773,0.47252,-0.00129,0.79109,0.43845,-0.03941,0.78548,0.49696,-0.05651,0.78215,0.55104,-0.06509
0.87923,0.78452,0.0,0.85793,0.71967,-0.10228,0.87955,0.60391,-0.11901,0.94582,0.52788,-0.11602,0.99272,0.48362,-0.10908,0.81341,0.39401,-0.04086,0.78076,0.24791,-0.04947,0.76522,0.15438,-0.06361,0.75099,0.0767,-0.0754,0.87132,0.38706,-0.0067,0.8794,0.21854,-0.00175,0.88947,0.11634,-0.01661,0.89372,0.03722,-0.02831,0.92112,0.42473,0.01385,0.96511,0.2959,-0.0051,0.98607,0.20189,-0.05126,0.99633,0.10736,-0.08418,0.95775,0.49281,0.02617,0.99147,0.44795,-0.00693,0.98981,0.498,-0.02951,0.98545,0.54813,-0.04364
0.85531,0.95039,0.0,0.82014,0.91384,-0.09046,0.82382,0.82072,-0.1257,0.90463,0.73483,-0.14646,0.97268,0.65689,-0.16636,0.76135,0.57099,-0.07788,0.7295,0.39276,-0.10933,0.7165,0.27747,-0.13217,0.70548,0.17806,-0.14979,0.83624,0.55467,-0.06495,0.84891,0.35997,-0.08933,0.86633,0.23217,-0.11459,0.87748,0.1287,-0.1317,0.8976,0.59771,-0.06083,0.94734,0.4671,-0.10907,0.97757,0.36545,-0.15528,0.99907,0.27503,-0.18586,0.943,0.6778,-0.06233,0.9721,0.67092,-0.12663,0.96664,0.73959,-0.15174,0.96279,0.80414,-0.16317
0.50879,0.89853,0.0,0.4444,0.83603,-0.03067,0.42763,0.70329,-0.03659,0.47602,0.61972,-0.03873,0.53511,0.56115,-0.04318,0.44391,0.4888,-0.00911,0.42957,0.3417,-0.02066,0.42591,0.24773,-0.03097,0.42128,0.16368,-0.04276,0.50579,0.48699,-0.02078,0.52506,0.32356,-0.03672,0.53974,0.22454,-0.05261,0.5519,0.13627,-0.06219,0.55382,0.52587,-0.0386,0.58161,0.38227,-0.08444,0.59298,0.27235,-0.12492,0.60869,0.16849,-0.15069,0.59134,0.60145,-0.05686,0.57343,0.5673,-0.11697,0.53915,0.65124,-0.13564,0.52029,0.73012,-0.14362
0.50945,0.72073,0.0,0.45494,0.67072,-0.02063,0.43276,0.5596,-0.02231,0.4596,0.47888,-0.02216,0.50376,0.43343,-0.02367,0.44914,0.44444,0.00433,0.43411,0.34464,-5e-05,0.43261,0.28009,-0.006,0.43286,0.2245,-0.01374,0.49387,0.44333,-0.00292,0.5071,0.32463,-0.01104,0.51672,0.25028,-0.02258,0.52366,0.18714,-0.03034,0.5316,0.465,-0.01498,0.54036,0.35252,-0.04382,0.53911,0.27183,-0.07134,0.54387,0.19957,-0.0894,0.56356,0.50536,-0.02744,0.53152,0.46155,-0.0672,0.50123,0.51381,-0.08019,0.4863,0.56814,-0.08642
0.56217,0.9747,0.0,0.50941,0.92208,-0.05359,0.49197,0.81813,-0.07099,0.54418,0.74577,-0.0804,0.61039,0.7023,-0.09059,0.5029,0.59741,-0.03304,0.4936,0.45,-0.05483,0.49236,0.35606,-0.07326,0.48937,0.2735,-0.0893,0.56214,0.59056,-0.03504,0.57133,0.43278,-0.05161,0.57685,0.33351,-0.07092,0.57799,0.24582,-0.08487,0.60643,0.62344,-0.04503,0.63781,0.49628,-0.08459,0.6456,0.39381,-0.12616,0.65173,0.2957,-0.15546,0.6417,0.69208,-0.05854,0.64115,0.66985,-0.11328,0.61701,0.73753,-0.13514,0.59792,0.80134,-0.14686
